DATA;HORA;PREC;P_EST;TBS;TBU;ES_TS;ES_TU;E;URA;DELTA_E;TPO;UA;US;R;Q
18/01/2020;18;0;939.8;27.6;22.5;36.925;27.254;23.12343195;62.622;13.802;17.71461599;16.66179428;26.60697233;0.0157;0.0154
19/01/2020;0;0;938.8;22.7;20.1;27.587;23.527;21.42082727;77.648;6.166;16.69687614;15.69073787;20.20755867;0.0145;0.0143
19/01/2020;12;0;939.9;21.1;18.6;25.022;21.431;19.40557613;77.554;5.616;15.38212299;14.2919;18.4282908;0.0131;0.0129
19/01/2020;18;0;937.2;28.8;22.4;39.594;27.089;21.90539451;55.326;17.688;16.99453883;15.72136663;28.41601417;0.0149;0.0147
20/01/2020;0;0;937;24;20.4;29.837;23.967;21.05094332;70.552;8.787;16.46509443;15.35230412;21.76027636;0.0143;0.0141
20/01/2020;12;0;937.4;22.4;19.4;27.089;22.527;20.09726841;74.189;6.992;15.84817245;14.73618259;19.86311053;0.0136;0.0134
20/01/2020;18;0;934.2;30;21.8;42.428;26.117;19.47537462;45.902;22.952;15.42989931;13.92200047;30.32953095;0.0132;0.0131
21/01/2020;0;0;934.2;25.4;21.3;32.439;25.331;22.00977331;67.851;10.429;17.05779482;15.97626307;23.54617912;0.015;0.0148
21/01/2020;12;0.1;933.2;21;19.2;24.869;22.249;20.79059227;83.601;4.078;16.2994944;15.31715063;18.32172025;0.0142;0.014
21/01/2020;18;3.4;933.1;21.6;20.2;25.8;23.673;22.5387408;87.359;3.261;17.37381822;16.57125342;18.9691974;0.0154;0.0152
22/01/2020;0;2.7;933.2;20.1;18.7;23.527;21.565;20.43105603;86.842;3.096;16.06736434;15.09848767;17.38625311;0.0139;0.0137
22/01/2020;12;5.4;933.8;15.4;13.6;17.497;15.575;14.11726688;80.684;3.38;11.14841292;10.60263525;13.140925;0.0095;0.0095
22/01/2020;18;3;933.5;18;15.8;20.639;17.951;16.16919721;78.343;4.47;12.95426812;12.03521689;15.36222604;0.011;0.0108
23/01/2020;0;0;934;17.2;14.8;19.623;16.835;14.89051062;75.881;4.733;11.85800363;11.11400621;14.64658244;0.0101;0.01
23/01/2020;12;0;935.6;18.4;16.2;21.164;18.416;16.63373128;78.595;4.53;13.3311776;12.36398832;15.73123752;0.0113;0.0111
23/01/2020;18;0;933;23.6;18;29.129;20.639;16.10300174;55.282;13.026;12.89967934;11.75964321;21.27194419;0.0109;0.0108
24/01/2020;0;0;934.8;19.4;16.1;22.527;18.299;15.62562114;69.363;6.902;12.49922834;11.57493002;16.68743617;0.0106;0.0105
24/01/2020;12;0;935.5;18.6;16.4;21.431;18.652;16.86992345;78.719;4.561;13.51879952;12.53095137;15.91859668;0.0114;0.0113
24/01/2020;18;0;932.2;25.4;19.6;32.439;22.809;18.11099305;55.832;14.328;14.46340474;13.14625032;23.54617912;0.0123;0.0122
25/01/2020;0;0;933.6;20.7;17;24.414;19.377;16.37950102;67.09;8.035;13.12622622;12.07967287;18.00519048;0.0111;0.011
25/01/2020;12;0;934.7;21;17.3;24.869;19.748;16.75094761;67.357;8.118;13.42462038;12.34100426;18.32172025;0.0114;0.0112
25/01/2020;18;0;934.3;27.9;19.8;37.577;23.094;16.53279437;43.997;21.045;13.2501833;11.90097461;27.04969934;0.0112;0.0111
26/01/2020;0;0;934.4;22.2;18.1;26.762;20.769;17.44812566;65.198;9.314;13.9672364;12.80238489;19.63629847;0.0118;0.0117
26/01/2020;12;0;935.4;22;18.5;26.438;21.297;18.46183069;69.831;7.976;14.71871254;13.5553645;19.41172104;0.0125;0.0124
26/01/2020;18;0;934.2;28.5;19.8;38.911;23.094;16.04679437;41.239;22.864;12.85315089;11.52814481;27.95414647;0.0109;0.0108
27/01/2020;0;0;934.3;23.1;18.3;28.263;21.032;17.14352959;60.657;11.12;13.73288517;12.5406569;20.67481604;0.0116;0.0115
27/01/2020;12;0;935.6;24;20.2;29.837;23.673;20.5947408;69.023;9.243;16.17354774;15.01959885;21.76027636;0.014;0.0138
27/01/2020;18;3.8;934.2;22;19;26.438;21.973;19.54293665;73.92;6.895;15.47598199;14.34915281;19.41172104;0.0133;0.0131
28/01/2020;0;14;935.9;21;19.8;24.869;23.094;22.12179437;88.954;2.747;17.12534933;16.2978934;18.32172025;0.0151;0.0148
28/01/2020;12;0;935.5;22.4;19.6;27.089;22.809;20.54099305;75.827;6.548;16.13877456;15.0615406;19.86311053;0.014;0.0138
28/01/2020;18;0;932.6;29.2;21.4;40.519;25.486;19.16841611;47.307;21.351;15.21849581;13.7388449;29.04200681;0.0131;0.0129
29/01/2020;0;0;933.8;21.3;18.6;25.331;21.431;19.24357613;75.969;6.087;15.27057014;14.16295817;18.64303601;0.0131;0.0129
29/01/2020;12;0;935.2;20;18.8;23.382;21.7;20.7282738;88.652;2.653;16.25954827;15.32335872;17.28490233;0.0141;0.0139
29/01/2020;18;15.6;932.6;23.5;20.3;28.954;23.819;21.22744495;73.315;7.726;16.57620001;15.50713179;21.15134542;0.0145;0.0143
30/01/2020;0;2.9;933.5;20.6;19.5;24.264;22.668;21.77674791;89.748;2.488;16.91616002;16.06554359;17.90073388;0.0149;0.0146
30/01/2020;12;0.4;933.5;21.6;19.4;25.8;22.527;20.74526841;80.407;5.055;16.27045372;15.25263115;18.9691974;0.0141;0.0139
30/01/2020;18;0.2;934.2;22;20.2;26.438;23.673;22.2147408;84.026;4.223;17.18114168;16.31089104;19.41172104;0.0152;0.0149
31/01/2020;0;0;934.7;21.2;20;25.176;23.382;22.40970075;89.012;2.766;17.29741456;16.49878036;18.53539531;0.0153;0.015
31/01/2020;12;0;936.3;21;19.8;24.869;23.094;22.12179437;88.954;2.747;17.12534933;16.2978934;18.32172025;0.0151;0.0148
31/01/2020;18;0;935.9;25.6;21;32.826;24.869;21.14281697;64.409;11.683;16.5230435;15.33668505;23.81131535;0.0144;0.0142
01/02/2020;0;0;937.5;21.9;19.4;26.277;22.527;20.50226841;78.023;5.775;16.11366444;15.05863458;19.30026463;0.0139;0.0137
01/02/2020;12;0;939;21.7;18.9;25.958;21.836;19.56823286;75.383;6.39;15.49319503;14.38235235;19.07900506;0.0132;0.0131
01/02/2020;18;0;937;28.4;20.2;38.686;23.673;17.0307408;44.023;21.655;13.64504941;12.23907916;27.8016285;0.0115;0.0114
02/02/2020;0;0;936.6;22.2;18.9;26.762;21.836;19.16323286;71.606;7.599;15.21489709;14.06082736;19.63629847;0.013;0.0128
02/02/2020;12;0;938.7;22.3;19.6;26.925;22.809;20.62199305;76.59;6.303;16.19114446;15.12605382;19.74942403;0.014;0.0138
02/02/2020;18;0;936.2;28.8;21.9;39.594;26.277;20.68823009;52.252;18.905;16.23381684;14.84781524;28.41601417;0.0141;0.0139
03/02/2020;0;0;938.3;21.2;19.4;25.176;22.527;21.06926841;83.688;4.107;16.4766731;15.51190869;18.53539531;0.0143;0.0141
03/02/2020;12;0;937.6;20.8;18.8;24.565;21.7;20.0802738;81.744;4.485;15.83691524;14.80390505;18.11017229;0.0136;0.0134
03/02/2020;18;0;936.6;29;21.8;40.054;26.117;20.28537462;50.645;19.769;15.97214189;14.54904683;28.72754848;0.0138;0.0136
04/02/2020;0;27.7;938.7;20.3;18.8;23.819;21.7;20.4852738;86.002;3.334;16.10262969;15.12823152;17.59049361;0.0139;0.0137
